Similitud de la palabra "maquinaria"

Raw_Frequency              | Relative_Frequency         | Sublineal                  | IDF_BM25                   | 
yerran              : 0.185| ue                  : 0.182| guadarrama          : 0.181| ue                  : 0.181| 
medina              : 0.185| griego              : 0.181| dionisio            : 0.181| cuota               : 0.181| 
satisfacer          : 0.184| gilberto            : 0.180| posteriormente      : 0.180| legorreta           : 0.181| 
legorreta           : 0.184| herrera             : 0.180| obedecer            : 0.180| posteriormente      : 0.180| 
reclamar            : 0.184| pemexminatitlán     : 0.180| gasca               : 0.180| americano           : 0.180| 
ue                  : 0.183| antiinflación       : 0.180| auténtica           : 0.180| neri                : 0.180| 
prioridad           : 0.183| legorreta           : 0.180| representa          : 0.180| únicamente          : 0.179| 
griego              : 0.182| neri                : 0.180| prioridad           : 0.180| guadarrama          : 0.179| 
posteriormente      : 0.181| americano           : 0.179| millonarios         : 0.179| plática             : 0.178| 
neri                : 0.180| victorio            : 0.179| rebeliones          : 0.179| literaria           : 0.178| 
millonarios         : 0.180| parkinson           : 0.179| plática             : 0.179| manjarrez           : 0.178| 
literaria           : 0.179| ortopédico          : 0.179| literaria           : 0.179| patricia            : 0.178| 
plática             : 0.179| plática             : 0.179| globalización       : 0.179| dionisio            : 0.178| 
rebeliones          : 0.179| literaria           : 0.179| griego              : 0.178| anticipación        : 0.178| 
ortopédico          : 0.179| extensísimo         : 0.179| confesar            : 0.178| millonarios         : 0.177| 
becerra             : 0.178| anticipación        : 0.178| ronald              : 0.178| rebeliones          : 0.177| 
jeanette            : 0.178| transformación      : 0.178| patricia            : 0.178| reiterar            : 0.177| 
acosta              : 0.178| guadarrama          : 0.177| manjarrez           : 0.178| gasca               : 0.177| 
irma                : 0.178| globalización       : 0.177| ginecólogo          : 0.178| griego              : 0.177| 
pilar               : 0.178| tinbergen           : 0.177| mensaje             : 0.178| pemexminatitlán     : 0.177| 
orti                : 0.178| diagnosticarón      : 0.177| sanchez             : 0.178| brutas              : 0.177| 
sanchez             : 0.178| refugio             : 0.177| venegas             : 0.178| reservas            : 0.177| 
venegas             : 0.178| yerran              : 0.177| adolfo              : 0.178| caen                : 0.177| 
